area,price,state,city,district,link
400,2000,Viljandimaa, Viljandi,,https://www.kv.ee/uurile-anda-endised-ooklubi-ruumid-voimalik-avada-3102161.html?nr=1636&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
33,150,Harjumaa, Tallinn, Lasnamäe,https://www.kv.ee/uurile-anda-logistiliselt-vaga-heas-kohas-laopind-2971475.html?nr=1637&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
150,1659,Harjumaa, Tallinn, Kesklinna,https://www.kv.ee/uurile-anda-osaliselt-mobleeritud-burooruum-keskli-2985688.html?nr=1638&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
512,4096,Harjumaa, Tallinn, Lasnamäe,https://www.kv.ee/anname-uurile-rimi-hupermarketis-kaubandusteenindu-3145004.html?nr=1639&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
88,528,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-anda-kontoriruumid-kesklinnas-uurihinnale-l-3172211.html?nr=1640&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
466,2990,Pärnumaa, Pärnu, Mai,https://www.kv.ee/sillakeskus-on-2008-a-valminud-kaasaegne-arilinnak-3091451.html?nr=1641&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
147,1103,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/harjumaa-tallinn-kesklinn-parnu-mnt-21-kogupind-14-2991668.html?nr=1642&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
1075,3171,Harjumaa, Tallinn, Lasnamäe,https://www.kv.ee/valja-uurida-kutteta-ruum-suurusega-1100-m2-2270-m-3006720.html?nr=1643&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
20,370,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uus-aripind-kesklinnas-hea-asukoht-bussi-peatus-ja-3201376.html?nr=1644&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
27,248,Tartumaa, Tartu, Tartu linn,https://www.kv.ee/anda-uurile-burooks-sobiv-aripind-asukohaga-tehnik-3176817.html?nr=1645&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
7,400,Viljandimaa, Viljandi, Leola maja,https://www.kv.ee/leola-majas-peasissekaigu-fuajees-esimesel-korruse-3007885.html?nr=1646&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
418,2990,Harjumaa, Tallinn, Kristiine,https://www.kv.ee/uurile-anda-buroopind-aadressil-mustamae-tee-55-pi-3197036.html?nr=1647&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
13,50,Lääne-Virumaa, Rakvere,,https://www.kv.ee/uurile-anda-kesklinna-aripind-sobiv-burooks-voi-te-3200507.html?nr=1648&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
215,1724,Harjumaa, Tallinn, Lasnamäe,https://www.kv.ee/uurile-anda-kvaliteetne-4-korruse-buroopind-peterb-3200731.html?nr=1649&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
65,1045,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/anname-uurile-buroo-tallinna-kesklinnas-heas-asuko-3188353.html?nr=1650&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
160,880,Harjumaa, Tallinn, Lasnamäe,https://www.kv.ee/uurile-anda-korralik-ladu-peterburi-teel-estakaadv-3178732.html?nr=1651&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
49,395,Tartumaa, Tartu, Tartu linn,https://www.kv.ee/uurile-anda-buroopind-2017-aastal-valminud-aardla-3200316.html?nr=1652&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
65,1501,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-anda-65-3-m2-suurune-kaubanduspind-sikupill-3197385.html?nr=1653&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
14,1,Harjumaa, Tallinn, Põhja-Tallinn,https://www.kv.ee/uurile-anda-laoboksid-14-m2-suureparane-asukoht-av-3196947.html?nr=1654&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
24,75,Harjumaa, Viimsi vald, Haabneeme,https://www.kv.ee/uurile-anda-24m2-suurused-ruumid-haabneeme-keskuse-2052635.html?nr=1655&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
94,947,Harjumaa, Tallinn, Mustamäe,https://www.kv.ee/anname-uurile-avara-ja-valguskullase-nurgaburoo-94-3160020.html?nr=1656&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
